Year,Fruit,Grain,Dairy,Protein,Vegetables,Fat
1970,20,20,20,10,20,10
1971,20,20,20,10,20,10
1972,20,20,20,10,20,10
1973,20,20,20,10,20,10
1974,20,20,20,10,20,10
1975,20,20,20,10,20,10
1976,20,20,20,10,20,10
1977,20,20,20,10,20,10
1978,20,20,20,10,20,10
1979,20,20,20,10,20,10
1980,14.4,30.8,23.1,15.4,15.4,0
1981,14.4,30.8,23.1,15.4,15.4,0
1982,14.4,30.8,23.1,15.4,15.4,0
1983,14.4,30.8,23.1,15.4,15.4,0
1984,15,43,10,13,20,0
1985,15,43,10,13,20,0
1986,15,43,10,13,20,0
1987,15,43,10,13,20,0
1988,15,43,10,13,20,0
1989,15,43,10,13,20,0
1990,15,43,10,13,20,0
1991,15,43,10,13,20,0
1992,15,41,12,12,20,0
1993,15,41,12,12,20,0
1994,15,41,12,12,20,0
1995,15,41,12,12,20,0
1996,15,41,12,12,20,0
1997,15,41,12,12,20,0
1998,15,41,12,12,20,0
1999,15,41,12,12,20,0
2000,15,41,12,12,20,0
2001,15,41,12,12,20,0
2002,15,41,12,12,20,0
2003,15,41,12,12,20,0
2004,15,41,12,12,20,0
2005,20,30,15,9,25,0
2006,20,30,15,9,25,0
2007,20,30,15,9,25,0
2008,20,30,15,9,25,0
2009,20,30,15,9,25,0
2010,20,30,15,9,25,0
2011,20,30,15,9,25,0
2012,20,30,15,9,25,0
2013,20,30,15,9,25,0
2014,20,30,15,9,25,0
2015,20,30,15,9,25,0
2016,20,30,15,9,25,0
