,Year,Dairy,Protein,Fats,Fruit,Vegetable,Grain
0,1970,0.1454,0.2957,0.2011,0.0414,0.0782,0.2381
1,1971,0.146,0.3005,0.199,0.0425,0.077,0.235
2,1972,0.1449,0.3002,0.2057,0.04,0.0767,0.2324
3,1973,0.1451,0.2851,0.2093,0.0421,0.0774,0.2409
4,1974,0.1417,0.296,0.2056,0.0427,0.0747,0.2393
5,1975,0.1405,0.2894,0.2053,0.0445,0.0768,0.2434
6,1976,0.1368,0.2927,0.2083,0.0438,0.0747,0.2436
7,1977,0.1387,0.2957,0.2039,0.0448,0.0759,0.241
8,1978,0.1373,0.2911,0.2091,0.0446,0.0725,0.2454
9,1979,0.1355,0.2869,0.2127,0.0442,0.074,0.2469
10,1980,0.1333,0.2838,0.213,0.0473,0.0726,0.25
11,1981,0.1325,0.2874,0.2124,0.0453,0.0718,0.2507
12,1982,0.1341,0.2831,0.213,0.0465,0.0737,0.2497
13,1983,0.133,0.2828,0.2168,0.0493,0.0729,0.2452
14,1984,0.1332,0.2804,0.2211,0.0467,0.0721,0.2465
15,1985,0.1307,0.275,0.2252,0.0455,0.0711,0.2525
16,1986,0.1295,0.2701,0.2259,0.0466,0.071,0.2568
17,1987,0.1296,0.2654,0.2218,0.0471,0.0694,0.2667
18,1988,0.1258,0.2662,0.2227,0.0457,0.0692,0.2704
19,1989,0.126,0.2663,0.2162,0.0476,0.0709,0.273
20,1990,0.1258,0.2612,0.2146,0.0456,0.0708,0.282
21,1991,0.1242,0.2601,0.2166,0.0451,0.0737,0.2803
22,1992,0.1224,0.2598,0.2199,0.046,0.072,0.2799
23,1993,0.1181,0.254,0.2259,0.0465,0.0726,0.2829
24,1994,0.1197,0.256,0.2205,0.0468,0.0724,0.2847
25,1995,0.1201,0.2577,0.2184,0.0456,0.0728,0.2854
26,1996,0.1185,0.2544,0.2118,0.0465,0.0747,0.2942
27,1997,0.118,0.2542,0.2136,0.047,0.0724,0.2949
28,1998,0.1176,0.2604,0.2126,0.0475,0.0712,0.2907
29,1999,0.1161,0.2626,0.2166,0.0476,0.0708,0.2863
30,2000,0.1102,0.2482,0.2533,0.0436,0.0677,0.277
31,2001,0.1101,0.2473,0.2596,0.0427,0.0679,0.2724
32,2002,0.109,0.2512,0.2701,0.0419,0.0646,0.2631
33,2003,0.1084,0.2502,0.2689,0.042,0.0668,0.2636
34,2004,0.1091,0.2537,0.2685,0.0423,0.0652,0.2612
35,2005,0.1096,0.252,0.2703,0.0416,0.0628,0.2636
36,2006,0.1089,0.2523,0.2684,0.0409,0.0633,0.2661
37,2007,0.1085,0.2508,0.2674,0.0406,0.063,0.2697
38,2008,0.1082,0.2467,0.2742,0.0398,0.0604,0.2708
39,2009,0.1124,0.2505,0.2615,0.04,0.0599,0.2757
40,2010,0.1103,0.2465,0.2696,0.0401,0.0609,0.2725
41,2011,0.1533,0.339,0.0276,0.0551,0.0824,0.3426
42,2012,0.1532,0.3359,0.0283,0.054,0.085,0.3436
43,2013,0.1501,0.3368,0.0282,0.0563,0.0841,0.3444
44,2014,0.1496,0.3361,0.0284,0.0557,0.0858,0.3443
45,2015,0.1505,0.3431,0.0285,0.0549,0.0869,0.3361
46,2016,0.1508,0.3495,0.029,0.0545,0.0833,0.3329
